iter	Passed	Remaining
0	185	185807
1	221	110286
2	262	87347
3	306	76280
4	347	69075
5	383	63552
6	424	60164
7	460	57155
8	493	54302
9	526	52099
10	559	50305
11	590	48613
12	622	47252
13	656	46211
14	686	45066
15	713	43903
16	740	42844
17	766	41830
18	794	41018
19	823	40354
20	851	39694
21	886	39390
22	934	39690
23	971	39508
24	1004	39172
25	1038	38905
26	1071	38598
27	1103	38305
28	1136	38061
29	1164	37646
30	1191	37250
31	1220	36913
32	1246	36524
33	1274	36198
34	1303	35952
35	1353	36232
36	1391	36209
37	1427	36131
38	1455	35863
39	1485	35663
40	1516	35465
41	1543	35201
42	1573	35020
43	1609	34959
44	1640	34809
45	1674	34731
46	1708	34643
47	1742	34558
48	1776	34473
49	1809	34378
50	1848	34405
51	1888	34430
52	1930	34490
53	1969	34499
54	2006	34475
55	2042	34424
56	2084	34483
57	2114	34340
58	2141	34148
59	2172	34030
60	2201	33881
61	2228	33712
62	2257	33583
63	2295	33568
64	2328	33492
65	2360	33402
66	2388	33258
67	2418	33153
68	2460	33195
69	2500	33221
70	2543	33276
71	2575	33193
72	2605	33091
73	2637	33007
74	2667	32902
75	2700	32837
76	2734	32775
77	2775	32809
78	2811	32779
79	2842	32684
80	2875	32625
81	2911	32590
82	2945	32547
83	2981	32511
84	3012	32431
85	3042	32337
86	3071	32233
87	3097	32099
88	3126	31999
89	3155	31909
90	3186	31828
91	3222	31808
92	3255	31753
93	3295	31763
94	3330	31730
95	3372	31755
96	3409	31739
97	3449	31753
98	3495	31809
99	3534	31811
100	3575	31828
101	3630	31958
102	3669	31953
103	3708	31949
104	3751	31976
105	3787	31943
106	3818	31867
107	3850	31805
108	3887	31779
109	3924	31755
110	3959	31708
111	3986	31610
112	4021	31564
113	4058	31541
114	4094	31507
115	4131	31487
116	4177	31530
117	4216	31517
118	4250	31469
119	4290	31464
120	4322	31403
121	4356	31351
122	4393	31325
123	4439	31362
124	4477	31339
125	4512	31298
126	4543	31234
127	4578	31192
128	4613	31149
129	4644	31084
130	4681	31054
131	4718	31029
132	4753	30990
133	4784	30920
134	4817	30865
135	4856	30854
136	4893	30826
137	4923	30756
138	4949	30657
139	4978	30584
140	5008	30510
141	5040	30453
142	5077	30426
143	5110	30376
144	5139	30304
145	5170	30245
146	5206	30213
147	5241	30172
148	5272	30114
149	5313	30107
150	5348	30070
151	5379	30011
152	5407	29935
153	5438	29878
154	5471	29827
155	5502	29770
156	5534	29714
157	5564	29655
158	5594	29591
159	5624	29527
160	5651	29449
161	5677	29370
162	5706	29304
163	5745	29287
164	5791	29310
165	5835	29318
166	5875	29306
167	5905	29244
168	5936	29191
169	5966	29131
170	5999	29083
171	6026	29013
172	6055	28946
173	6084	28882
174	6112	28814
175	6139	28742
176	6170	28690
177	6202	28643
178	6232	28585
179	6262	28529
180	6291	28467
181	6322	28418
182	6349	28348
183	6377	28283
184	6405	28218
185	6441	28189
186	6472	28140
187	6498	28066
188	6523	27994
189	6551	27928
190	6578	27865
191	6604	27794
192	6640	27766
193	6673	27725
194	6703	27672
195	6732	27615
196	6759	27553
197	6789	27501
198	6817	27439
199	6851	27404
200	6893	27404
201	6934	27392
202	6970	27366
203	7000	27314
204	7032	27273
205	7080	27290
206	7113	27250
207	7135	27171
208	7162	27108
209	7204	27102
210	7240	27074
211	7268	27018
212	7292	26942
213	7327	26913
214	7358	26867
215	7388	26817
216	7420	26773
217	7447	26713
218	7478	26669
219	7507	26618
220	7540	26578
221	7573	26541
222	7600	26481
223	7627	26424
224	7657	26376
225	7685	26321
226	7713	26267
227	7743	26220
228	7777	26185
229	7806	26136
230	7836	26087
231	7866	26039
232	7892	25980
233	7920	25927
234	7947	25870
235	7983	25844
236	8025	25837
237	8065	25821
238	8091	25765
239	8119	25712
240	8148	25661
241	8180	25622
242	8211	25579
243	8241	25536
244	8269	25482
245	8297	25432
246	8325	25381
247	8351	25325
248	8378	25270
249	8408	25224
250	8440	25187
251	8476	25161
252	8502	25104
253	8532	25058
254	8558	25005
255	8587	24958
256	8618	24915
257	8648	24873
